Id,Nombre,Seleccion,Posicion,MinutosJugados,Goles,Asistencias,TarjetasAmarillas,TarjetasRojas,PartidosJugados
J001,Guatemala,Mateo López,Delantero,480,6,2,1,0,6
J002,México,Carlos Méndez,Mediocampista,510,2,7,2,0,6
J003,Brasil,Lucas Silva,Delantero,525,8,3,1,0,6
J004,Argentina,Diego Torres,Defensa,540,1,1,3,0,6
J005,Colombia,Andrés Ruiz,Mediocampista,450,3,5,2,0,5
J006,Brasil,Pedro Santos,Portero,540,0,0,0,0,6
J007,México,Javier Morales,Delantero,390,5,2,2,0,5
J008,Argentina,Nicolás Pérez,Mediocampista,505,4,6,1,0,6
J009,Colombia,Sebastián Díaz,Delantero,360,7,1,3,0,4
J010,Guatemala,Fernando Castillo,Defensa,420,1,3,4,0,5
J011,Brasil,Rafael Lima,Mediocampista,470,2,4,2,0,5
J012,México,Tomás Gómez,Defensa,495,1,2,3,0,6
J013,Argentina,Luis Fernández,Delantero,515,6,4,1,0,6
J014,Colombia,Daniel Rojas,Portero,540,0,1,1,0,6
J015,Guatemala,Adrián Morales,Mediocampista,430,3,5,2,0,5
